T,rho,lag_rule,hac_lag,replications,valid_replications,failures,rejection_rate,mcse,ci95_lower,ci95_upper,true_lrv,mean_estimated_lrv_ratio,median_estimated_lrv_ratio
500,0.3,L_auto,5,5000,5000,0,0.069,0.0035843827920577906,0.061974609727566736,0.07602539027243327,2.0408163265306127,0.8794991312713814,0.8737135494722733
500,0.3,2L_auto,10,5000,5000,0,0.0642,0.0034663629354122743,0.057405928646591935,0.07099407135340804,2.0408163265306127,0.9201218921597061,0.9095078474377085
500,0.3,4L_auto,20,5000,5000,0,0.0696,0.003598773124274438,0.0625464046764221,0.07665359532357789,2.0408163265306127,0.9258935120860022,0.907835765603458
500,0.6,L0,0,5000,5000,0,0.3306,0.006652873664815829,0.317560367616961,0.343639632383039,6.249999999999999,0.24777188304787987,0.2469741935824341
500,0.6,L_auto,5,5000,5000,0,0.1104,0.004431971119039473,0.10171333660668264,0.11908666339331736,6.249999999999999,0.6879405888096917,0.6811007106990268
500,0.6,2L_auto,10,5000,5000,0,0.089,0.004026884651936283,0.08110730608220489,0.0968926939177951,6.249999999999999,0.8052297344359857,0.7905767951730307
500,0.6,4L_auto,20,5000,5000,0,0.0846,0.003935551803750015,0.07688631846464997,0.09231368153535002,6.249999999999999,0.8666291965672526,0.8414180522151358
500,0.8,L0,0,5000,5000,0,0.5262,0.007061353411351113,0.5123597473137518,0.5400402526862482,25.000000000000014,0.10945752542545022,0.10872201811935966
500,0.8,L_auto,5,5000,5000,0,0.2004,0.0056610924740724735,0.18930425875081794,0.21149574124918205,25.000000000000014,0.44222044379099434,0.43679907752942465
500,0.8,2L_auto,10,5000,5000,0,0.1384,0.0048835528050795145,0.12882823650204414,0.14797176349795585,25.000000000000014,0.609588778059707,0.5983733763928045
500,0.8,4L_auto,20,5000,5000,0,0.1058,0.00434985884828462,0.09727427665736214,0.11432572334263787,25.000000000000014,0.7497518105410103,0.7276209537910827
500,0.9,L0,0,5000,5000,0,0.6448,0.006768056737350832,0.6315346087947924,0.6580653912052077,100.00000000000006,0.05074348665262493,0.0498061111899398
500,0.9,L_auto,5,5000,5000,0,0.3368,0.006683797722851882,0.3236997564632103,0.34990024353678967,100.00000000000006,0.2479152998783616,0.24252023298535524
500,0.9,2L_auto,10,5000,5000,0,0.2384,0.006026034185100513,0.226588972997203,0.250211027002797,100.00000000000006,0.38570234564598826,0.37493500345021913
500,0.9,4L_auto,20,5000,5000,0,0.1584,0.005163515081802318,0.14827951043966747,0.16852048956033255,100.00000000000006,0.5519654344593855,0.532558295603101
1000,0.0,L0,0,5000,5000,0,0.0524,0.003151324800778238,0.046223403390474656,0.05857659660952535,1.0,0.998756104375266,0.9981734044654785
1000,0.0,L_auto,6,5000,5000,0,0.0564,0.0032624849424939878,0.05000552951271178,0.06279447048728821,1.0,0.9942810429361347,0.991907985267892
1000,0.0,2L_auto,12,5000,5000,0,0.057,0.0032787497617232093,0.050573650467022516,0.06342634953297749,1.0,0.9889521746654365,0.9796857210104828
1000,0.0,4L_auto,24,5000,5000,0,0.06,0.0033585711247493327,0.05341720059549131,0.06658279940450869,1.0,0.9785544894889828,0.9626745469563365
1000,0.3,L0,0,5000,5000,0,0.1546,0.005112706523946,0.14457909521306583,0.16462090478693414,2.0408163265306127,0.5365196365950845,0.5361019648456787
1000,0.3,L_auto,6,5000,5000,0,0.0714,0.0036414843127494045,0.06426269074701117,0.07853730925298884,2.0408163265306127,0.8971829003552577,0.8934176307799635
1000,0.3,2L_auto,12,5000,5000,0,0.0656,0.0035013323178470224,0.05873738865701984,0.07246261134298017,2.0408163265306127,0.9350537741756607,0.9261371235748009
1000,0.3,4L_auto,24,5000,5000,0,0.067,0.003535845019228077,0.06006974376231297,0.07393025623768704,2.0408163265306127,0.9481339821020943,0.9355647544930527
1000,0.6,L0,0,5000,5000,0,0.3186,0.006589294954697354,0.3056849818887932,0.3315150181112068,6.249999999999999,0.24896526848611103,0.2483525708436506
1000,0.6,L_auto,6,5000,5000,0,0.0862,0.003969119801668879,0.078420525188729,0.093979474811271,6.249999999999999,0.7311555106281323,0.727000391044464
1000,0.6,2L_auto,12,5000,5000,0,0.0672,0.003540738905934748,0.06026015174436789,0.07413984825563211,6.249999999999999,0.8409793770864802,0.8337690160627453
1000,0.6,4L_auto,24,5000,5000,0,0.0632,0.0034410974993452307,0.05645544890128335,0.06994455109871665,6.249999999999999,0.8989171668955085,0.8848835677821982
1000,0.8,L0,0,5000,5000,0,0.5052,0.007070685398177464,0.4913414566195722,0.5190585433804278,25.000000000000014,0.11012308207007722,0.10969418502919316
1000,0.8,L_auto,6,5000,5000,0,0.1688,0.0052972928935447776,0.15841730592865225,0.17918269407134776,25.000000000000014,0.4905378591587339,0.4871786710154564
1000,0.8,2L_auto,12,5000,5000,0,0.1152,0.004515062790261061,0.10635047693108832,0.12404952306891168,25.000000000000014,0.6623559599882386,0.6551682264351573
1000,0.8,4L_auto,24,5000,5000,0,0.0898,0.00404316608612607,0.08187539447119291,0.0977246055288071,25.000000000000014,0.794481412630981,0.7791575902389873
1000,0.9,L0,0,5000,5000,0,0.645,0.00676720030736493,0.6317362873975647,0.6582637126024353,100.00000000000006,0.05150809462586302,0.05119806373312871
1000,0.9,L_auto,6,5000,5000,0,0.2848,0.006382616391418177,0.2722900718728204,0.2973099281271796,100.00000000000006,0.2854562749398805,0.2830610733505521
1000,0.9,2L_auto,12,5000,5000,0,0.185,0.005491356845079365,0.17423694058364445,0.19576305941635555,100.00000000000006,0.44024511511422404,0.43459414649318445
1000,0.9,4L_auto,24,5000,5000,0,0.1288,0.004737310629460559,0.11951487116625731,0.1380851288337427,100.00000000000006,0.6166441102768992,0.603981637018155
